Unified,Name
128578,slightly smiling face
129303,hugging face
129300,thinking face
128580,face with rolling eyes
129296,zipper-mouth face
129299,nerd face
128577,slightly frowning face
128579,upside-down face
129298,face with thermometer
129301,face with head-bandage
129297,money-mouth face
128373,sleuth or spy
128483,speaking head in silhouette
128372,man in business suit levitating
127995,emoji modifier fitzpatrick type-1-2
127996,emoji modifier fitzpatrick type-3
127997,emoji modifier fitzpatrick type-4
127998,emoji modifier fitzpatrick type-5
127999,emoji modifier fitzpatrick type-6
128405,reversed hand with middle finger extended
128406,raised hand with part between middle and ring fingers
129304,sign of the horns
128400,raised hand with fingers splayed
128065,eye
128371,hole
128495,right anger bubble
128374,dark sunglasses
128717,shopping bags
128255,prayer beads
129302,robot face
129409,lion face
129412,unicorn face
128063,chipmunk
129411,turkey
128330,dove of peace
129408,crab
128375,spider
128376,spider web
129410,scorpion
127989,rosette
127798,hot pepper
129472,cheese wedge
127789,hot dog
127790,taco
127791,burrito
127871,popcorn
127870,bottle with popping cork
127869,fork and knife with plate
127994,amphora
128506,world map
127956,snow capped mountain
127957,camping
127958,beach with umbrella
127964,desert
127965,desert island
127966,national park
127967,stadium
127963,classical building
127959,building construction
127960,house buildings
127961,cityscape
127962,derelict house building
128720,place of worship
128331,kaaba
128332,mosque
128333,synagogue
128444,frame with picture
128738,oil drum
128739,motorway
128740,railway track
128755,passenger ship
128741,motor boat
128745,small airplane
128747,airplane departure
128748,airplane arriving
128752,satellite
128718,bellhop bell
128716,sleeping accommodation
128719,bed
128715,couch and lamp
128368,mantelpiece clock
127777,thermometer
127780,white sun with small cloud
127781,white sun behind cloud
127782,white sun behind cloud with rain
127783,cloud with rain
127784,cloud with snow
127785,cloud with lightning
127786,cloud with tornado
127787,fog
127788,wind blowing face
128334,menorah with nine branches
127894,military medal
127895,reminder ribbon
127902,film frames
127903,admission tickets
127991,label
127948,golfer
127947,weight lifter
127950,racing car
127949,racing motorcycle
127941,sports medal
127951,cricket bat and ball
127952,volleyball
127953,field hockey stick and ball
127954,ice hockey stick and puck
127955,table tennis paddle and ball
127992,badminton racquet and shuttlecock
128377,joystick
9208,double vertical bar
9209,black square for stop
9210,black circle for record
127897,studio microphone
127898,level slider
127899,control knobs
128421,desktop computer
128424,printer
128433,three button mouse
128434,trackball
128253,film projector
128248,camera with flash
128367,candle
128478,rolled-up newspaper
128499,ballot box with ballot
128395,lower left fountain pen
128394,lower left ballpoint pen
128396,lower left paintbrush
128397,lower left crayon
128450,card index dividers
128466,spiral note pad
128467,spiral calendar pad
128391,linked paperclips
128451,card file box
128452,file cabinet
128465,wastebasket
128477,old key
128736,hammer and wrench
128476,compression
128481,dagger knife
128737,shield
127993,bow and arrow
127987,waving white flag
127988,waving black flag
128329,om symbol
